Korteriomandite (eluruumide) tehingud,,,,,,,,,,,,
"Harju maakond, Anija vald / Harju maakond, Harku vald / Harju maakond, Jõelähtme vald / Harju maakond, Keila linn / Harju maakond, Kiili vald / Harju maakond, Kose vald / Harju maakond, Kuusalu vald / Harju maakond, Loksa linn / Harju maakond, Lääne-Harju vald / Harju maakond, Maardu linn / Harju maakond, Raasiku vald / Harju maakond, Rae vald / Harju maakond, Saku vald / Harju maakond, Saue vald / Harju maakond, Tallinn linn / Harju maakond, Viimsi vald / Harju maakond, Haabersti linnaosa / Harju maakond, Kesklinna linnaosa / Harju maakond, Kristiine linnaosa / Harju maakond, Lasnamäe linnaosa / Harju maakond, Mustamäe linnaosa / Harju maakond, Nõmme linnaosa / Harju maakond, Pirita linnaosa / Harju maakond, Põhja-Tallinna linnaosa 2024 aastal",,,,,,,,,,,,
10.05.2025,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Pindala(m2),Tehingu summa (eur),,,Pinnaühiku hind(eur /m2),,,,
,,Pindala(m2),Arv,Keskmine,Kokku,Minimaalne,Maksimaalne,Minimaalne,Maksimaalne,Mediaan,Keskmine,Standardhälve
2024 jaanuar,Anija vald,"10-29,99",2,***,***,***,***,***,***,***,***,***
,,"30-40,99",2,***,***,***,***,***,***,***,***,***
,,"41-54,99",4,***,***,***,***,***,***,***,***,***
,,"70-249,99",1,***,***,***,***,***,***,***,***,***
,,KOKKU,9,43.50,"425,705","5,000","84,755",119.33,"1,820.67","1,150.00","1,088.67",496.84
,Haabersti linnaosa,"10-29,99",1,***,***,***,***,***,***,***,***,***
,,"30-40,99",11,***,***,***,***,***,***,***,***,***
,,"41-54,99",20,46.70,"2,954,079","87,000","196,000","1,835.44","4,336.43","3,556.89","3,184.69",786.10
,,"55-69,99",21,63.40,"3,921,480","105,000","259,900","1,583.71","4,307.27","3,147.59","2,958.82",838.63
,,"70-249,99",19,86.50,"6,936,966","57,520","726,075",704.90,"7,435.32","3,451.71","4,058.66","1,893.47"
,,KOKKU,72,59.70,"14,607,426","6,082","726,075",264.43,"7,435.32","3,210.54","3,156.40","1,352.87"
,Harku vald,"30-40,99",1,***,***,***,***,***,***,***,***,***
,,"41-54,99",2,***,***,***,***,***,***,***,***,***
,,"55-69,99",2,***,***,***,***,***,***,***,***,***
,,"70-249,99",7,115.50,"1,916,400","199,000","445,000","1,514.46","3,330.84","2,277.83","2,367.99",594.99
,,KOKKU,12,90.30,"2,596,227","65,376","445,000","1,257.23","4,423.08","2,228.25","2,388.88",845.72
,Jõelähtme vald,"30-40,99",3,***,***,***,***,***,***,***,***,***
,,"41-54,99",2,***,***,***,***,***,***,***,***,***
